"","Species","taxonKey","nObs","common.names"
"281","Pecari tajacu",2440995,5037,"collared peccary"
"282","Sus scrofa",7705930,135162,"pig"
"283","Raphicerus campestris",2441141,762,"steenbok"
"284","Philantomba monticola",7261461,3177,"Blue duiker"
"285","Madoqua kirkii",2441001,514,"Kirk's dik-dik"
"286","Kobus ellipsiprymnus",5220160,2432,"waterbuck"
"287","Aotus trivirgatus",5219590,105,"douroucouli"
"288","Setifer setosus",5218437,86,"greater hedgehog tenrec"
"289","Turnix suscitator",2474982,4289,"barred buttonquail"
"290","Apteryx owenii",2495142,325,"little spotted kiwi"
"291","Apteryx haastii",2495139,119,"Great spotted kiwi"
"292","Apteryx australis",2495145,559,"brown kiwi"
"293","Tyto alba",2497921,254759,"Barn owl"
"294","Strix occidentalis",2497487,934,"Spotted owl"
"295","Strix aluco",9282206,414725,"Tawny owl"
"296","Megascops trichopsis",2497319,6155,"Whiskered screech owl"
"297","Megascops asio",2497415,132735,"eastern screech-owl"
"298","Glaucidium gnoma",9616953,31190,"mountain pygmy-owl"
"299","Bubo virginianus",5959118,428319,"great horned owl"
"300","Aegolius funereus",5739298,222100,"boreal owl"
"301","Otus leucotis",5232240,37,"Northern white-faced owl"
"302","Eudyptula minor",2481646,235757,"Little blue penguin"
"303","Nothoprocta perdicaria",2477581,2677,"Chilean Tinamou"
"304","Neophema splendida",2479504,858,"Scarlet-chested Parrot"
"305","Neophema pulchella",2479509,10879,"Turquoise Parrot"
"306","Myiopsitta monachus",2479407,99329,"monk parakeet"
"307","Melopsittacus undulatus",2479798,48152,"budgerigar"
"308","Cyanoramphus unicolor",5229100,32,"Antipodes Island green parakeet"
"309","Cyanoramphus novaezelandiae",5229110,2631,"Red-fronted Parakeet"
"310","Cyanoramphus auriceps",5229105,1359,"yellow-crowned parakeet"
"311","Bolborhynchus lineola",5229121,3973,"barred parakeet"
"312","Amazona viridigenalis",2479665,21575,"red-crowned parrot"
"313","Agapornis roseicollis",9770031,10271,"peach-faced lovebird"
"314","Agapornis personatus",2479553,1371,"yellow-collared lovebird"
"315","Agapornis nigrigenis",2479545,181,"Black-cheeked Lovebird"
"316","Agapornis fischeri",2479544,1359,"Fischer's Lovebird"
"317","Nestor notabilis",2479593,2817,"Kea"
"318","Nestor meridionalis",2479594,6369,"Kaka"
"319","Cacatua roseicapilla",4851368,601823,"Galah"
"320","Selenidera maculirostris",2478760,1451,"Spot-billed Toucanet"
"321","Ramphastos tucanus",2478774,17499,"White-throated Toucan"
"322","Ramphastos toco",2478765,7572,"Toco Toucan"
"323","Ramphastos dicolorus",2478770,3907,"Green-billed Toucan"
"324","Pteroglossus bailloni",5789361,1106,"saffron toucanet"
"325","Pteroglossus aracari",2478828,2553,"black-necked aracari"
"326","Aulacorhynchus sulcatus",5229028,1591,"Groove-billed Toucanet"
"327","Aulacorhynchus prasinus",5229012,23783,"Emerald toucanet"
"328","Trachyphonus darnaudii",2478893,3262,"D'Arnaud's barbet"
"329","Zosterops lateralis",2489396,495585,"silver-eye"
"330","Thryothorus ludovicianus",2493801,2655781,"Carolina wren"
"331","Sporophila corvina",2491356,41951,"Variable seedeater"
"332","Cyanerpes cyaneus",2488890,37354,"Red-legged honeycreeper"
"333","Hylophylax naevioides",5230831,5549,"Spotted Antbird"
"334","Acridotheres cristatellus",2489010,17031,"crested myna"
"335","Onychognathus tristramii",5230734,2717,"Tristram's Starling"
"336","Onychognathus morio",5230739,106704,"Red-winged Starling"
"337","Sitta canadensis",2484879,1269701,"Red-breasted nuthatch"
"338","Pipra mentalis",2487622,14061,"Red-capped Manakin"
"339","Passer domesticus",5231190,6372459,"House sparrow"
"340","Parus atricapillus",2487820,414,"Black-capped chickadee"
"341","Ptiloris magnificus",2494897,2755,"Magnificent riflebird"
"342","Parotia wahnesi",2494891,277,"Wahnes's Parotia"
"343","Parotia lawesii",2494894,432,"Lawes's parotia"
"344","Paradisaea rudolphi",2494863,230,"blue bird of paradise"
"345","Paradisaea raggiana",2494861,844,"Raggiana bird of paradise"
"346","Manucodia keraudrenii",2494904,19,"trumpet manucode"
"347","Manucodia chalybatus",5788948,244,"crinkle-collared manucode"
"348","Lophorina superba",2494916,440,"Superb bird of paradise"
"349","Epimachus meyeri",2494880,481,"brown sicklebill"
"350","Cicinnurus regius",2494913,444,"king bird of paradise"
"351","Cicinnurus magnificus",2494914,439,"Magnificent bird-of-paradise"
"352","Astrapia stephaniae",2494867,309,"Princess Stephanie's Astrapia"
"353","Nectarinia tacazze",5230037,1516,"Tacazze sunbird"
"354","Nectarinia senegalensis",5229977,770,"Scarlet-chested sunbird"
"355","Nectarinia kilimensis",5229993,6774,"bronze sunbird"
"356","Nectarinia cuprea",5230034,287,"copper sunbird"
"357","Nectarinia bifasciata",5230024,144,"purple-banded sunbird"
"358","Nectarinia amethystina",5230033,574,"amethyst sunbird"
